User stories LT;User stories ENG;KR1 Atomiškumas ;KR2 Viso sakinio pilnumas ;KR3 Dviprasmiškumas
Aš kaip testuotojas, noriu sukurti automatinius testus, kad testavimas vyktų greičiau. ;As a tester, I want to create automated tests to make testing faster.;1;1;1
Aš kaip testuotojas, noriu turėti aiškiai apibrėžtus testavimo kriterijus, kad galėčiau užtikrinti testavimo proceso kokybę ir išsamumą.;As a tester, I want to have clearly defined testing criteria so that I can ensure the quality and completeness of the testing process.;0;1;0
Aš kaip testuotojas, noriu turėti centralizuotą klaidų registravimo sistemą, kad galėčiau lengvai peržiūrėti ir valdyti visus atrastus defektus.;As a tester, I want to have a centralized bug logging system so that I can easily review and manage all discovered defects.;0;1;0
Aš kaip testuotojas, noriu turėti galimybę atnaujinti testų scenarijus pagal sistemos pakeitimus, kad mano testai visada atitiktų naujausią versiją.;As a tester, I want to be able to update test scripts based on system changes so that my tests are always up to date.;1;1;1
Aš kaip testuotojas, noriu turėti galimybę kurti testų ataskaitas automatiškai, kad sutaupyčiau laiko ir galėčiau susitelkti į klaidų analizę.;As a tester, I want to be able to generate test reports automatically so that I can save time and focus on bug analysis.;0;1;0
Aš kaip testuotojas, noriu turėti galimybę stebėti realaus laiko sistemų našumą, kad galėčiau identifikuoti spūstis ir našumo problemas.;As a tester, I want to be able to monitor real-time system performance to identify bottlenecks and performance issues.;0;1;0
Aš kaip testuotojas, noriu turėti prieigą prie klaidų stebėjimo įrankio, kad galėčiau stebėti klaidų pasikartojimus ir jų prioritetą.;As a tester, I want to have access to a bug tracker to monitor bug recurrences and their priority.;0;1;0
Aš kaip testuotojas, noriu turėti prieigą prie testavimo duomenų bazės, kad galėčiau patikrinti sistemos duomenų vientisumą.;As a tester, I want to have access to the test database to check the data integrity of the system.;1;1;1
Aš kaip testuotojas, noriu vykdyti mobiliųjų įrenginių testus, kad įsitikinčiau, jog programėlė veikia skirtinguose įrenginiuose.;As a tester, I want to run mobile tests to make sure the app works on different devices.;1;1;1
Aš kaip testuotojas, noriu vykdyti streso testus, kad galėčiau patikrinti sistemos stabilumą didelio krūvio sąlygomis.;As a tester, I want to run stress tests to check system stability under high load conditions.;1;1;1
Aš kaip testuotojas, noriu vykdyti testus skirtingose naršyklėse, kad užtikrinčiau sistemų suderinamumą.;As a tester, I want to run tests in different browsers to ensure system compatibility.;1;1;1
Aš kaip turinio valdytojas, noriu paprastai naudojamos turinio valdymo sistemos, kad galėčiau atnaujinti svetainės turinį be techninių žinių.;As a content manager, I want an easy-to-use content management system to update website content without technical knowledge.;1;1;1
Aš kaip vartotojas, noriu aktyvuoti kuponą programėlėje, kad pasinaudočiau lojalumo nuolaidomis.;I, as a user, want to activate the coupon in the app to take advantage of the loyalty discounts.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu dalintis savo pasiekimais, kad galėčiau parodyti savo progresą draugams.;As a mobile app user, I want to share my achievements to show my progress to my friends.;1;1;1
Aš kaip vartotojas, noriu dalyvauti mobilios programėlės žaidime, kad laimėčiau prizą.;I, as a user, want to participate in a mobile app game to win a prize.;1;1;1
Aš kaip vartotojas, noriu gauti greitą ir efektyvią pagalbą per integruotą pagalbos centrą, kad galėčiau išspręsti savo problemas nedelsiant.;As a user, I want to receive fast and efficient support through the integrated help center so that I can solve my problems immediately.;1;1;1
Aš kaip vartotojas, noriu gauti pranešimus apie naujausius produkto atnaujinimus, kad galėčiau iškart juos įdiegti ir naudoti naujas funkcijas.;As a user, I want to be notified of the latest product updates so that I can immediately install them and use the new features.;0;1;0
Aš kaip vartotojas, noriu gauti push pranešimus apie naujas žinutes, kad galėčiau būti informuotas realiu laiku.;As a user, I want to receive push notifications about new posts so that I can be informed in real time.;1;1;1
Aš kaip vartotojas, noriu matyti išleistą pinigų sumą per mėnesį, kad galėčiau žinoti savo išlaidas.;As a consumer, I want to see the amount of money spent per month so that I can know my expenses.;1;1;1
Aš kaip vartotojas, noriu matyti kiek laiko aktyvuotas kuponas, kad žinočiau per laiko panaudoti.;As a user, I want to see how long the coupon has been activated so that I know when to use it.;1;1;1
Aš kaip vartotojas, noriu matyti sukauptų taškų sumą, kad galėčiau juos panaudoti. ;As a user, I want to see the amount of accumulated points so that I can use them.;1;1;1
Aš kaip vartotojas, noriu nupirktą automobilio plovimą persiųsti draugui, kad draugas galėtų pasinaudoti. ;As a user, I want to forward the purchased car wash to a friend so that the friend can use it.;1;1;1
Aš kaip vartotojas, noriu pritaikyti aplikacijos temą, kad galėčiau suasmeninti savo patirtį.;As a user, I want to customize the app theme to personalize my experience.;1;1;1
Aš kaip vartotojas, noriu sinchronizuoti savo aplikacijos duomenis tarp kelių įrenginių, kad galėčiau turėti sklandžią patirtį.;As a user, I want to sync my app data between multiple devices so I can have a seamless experience.;1;1;1
Aš kaip vartotojas, noriu turėti blogo skyrių, kad galėčiau skaityti naujausius straipsnius ir atnaujinimus.;As a user, I want to have a blog section to read the latest articles and updates.;0;1;0
Aš kaip vartotojas, noriu turėti galimybę paspausti žemėlapyje ant degalinės, kad pamatyčiau degalinės informaciją.;As a user, I want to be able to click on a gas station on the map to see the gas station information.;1;1;1
Aš kaip vartotojas, noriu turėti galimybę prisijungti su savo socialinio tinklo paskyra prie mobilios programėlės, kad galėčiau nekurti naujos paskyros.;As a user, I want to be able to sign in with my social network account to the mobile app so I don't have to create a new account.;1;1;1
Aš kaip vartotojas, noriu turėti galimybę užsakyti prekių pristatymą į namus, kad nereikėtų važiuoti.;As a consumer, I want to be able to order home delivery so that I don't have to drive.;1;1;1
Aš kaip vartotojas, noriu turėti paieškos funkciją svetainėje, kad galėčiau greitai rasti reikiamą informaciją.;As a user, I want to have a search function on the website so that I can quickly find the information I need.;1;1;1
Aš kaip vartotojas, noriu turėti programėlės pamokas, kad galėčiau efektyviai naudotis visomis funkcijomis.;As a user, I want to have tutorials on the app so that I can use all the features effectively.;1;1;1
Aš kaip vartotojas, noriu turėti tiesioginį pokalbio funkciją, kad galėčiau gauti tiesioginę pagalbą naršydamas el. svetainėje.;As a user, I want to have a live chat feature so I can get live help while navigating my email. on the website.;1;1;1
Aš kaip vartotojas, noriu, kad mano asmeniniai duomenys būtų saugūs, kad galėčiau saugiai naudotis mobilia programėlė.;As a user, I want my personal data to be safe so that I can use the mobile app safely.;1;1;1
Aš kaip vartotojas, noriu, kad mobili programėlė veiktų ir be interneto ryšio, kad galėčiau ją naudoti visur ir visada.;As a user, I want the mobile app to work even without an internet connection so that I can use it anywhere and anytime.;0;1;0
Aš kaip vartotojas, po atlikto apmokėjimo mobiliojoje programėlėje, noriu įvertinti apmokėjimo procesą.;As a user, after making a payment in the mobile app, I want to evaluate the payment process.;1;1;1
Aš kaip vartotojas,noriu turėti galimybę prisidėti kelias bankines korteles, kad turėčiau pasirinkimą.;As a user, I want to be able to contribute several bank cards so that I have a choice.;1;1;1
Aš kaip verslo klientas, noriu atnaujinti programėlės dizainą, kad pritraukti daugiau vartotojų.;As a business customer, I want to update the design of the app to attract more users.;1;1;1
Aš kaip verslo klientas, noriu ištrinti keturių metų senumo nenaudojamus varototjų lojalumo taškus.;As a business customer, I want to delete four years old unused consumer loyalty points.;1;0;1
Aš kaip verslo klientas, noriu naujai užregistruotui klientui rodytų sveikinimo animaciją.;As a business customer, I want to show a welcome animation to a newly registered customer.;1;0;1
Aš kaip verslo klientas, noriu nustatyti kuro kiekio limitą, kad klientai įsipyltų tik nustatytą kuro kiekį.;As a business customer, I want to set a limit on the amount of fuel, so that customers only fill in the specified amount of fuel.;1;1;1
Aš kaip verslo klientas, noriu nustatyti prekių pinigų sumos limitą, kad klientai neviršytų nustatytos sumos. ;As a business customer, I want to set a limit on the amount of money for goods so that customers do not exceed the set amount.;1;1;1
Aš kaip verslo klientas, noriu pridėti į lojalumo sistemą naują lygį, kad vartotojai turėtų didesnes nuolaidas. ;I, as a business customer, want to add a new level to the loyalty system so that consumers have greater discounts.;1;1;1
Aš kaip verslo klientas, noriu pridėti į programėlės langą naują paslaugą, kad klientai galėtų pasinaudoti. ;As a business customer, I want to add a new service to the app window for customers to use.;1;1;1
Aš kaip verslo klientas, noriu uždrausti daryti QR kodo ekrano nuotraukas, kad vartotojai sąžiningai naudotusi tik savo lojalumo nuolaidomis.;As a business customer, I want to ban taking screenshots of the QR code so that consumers can only use their loyalty discounts fairly.;1;1;1
Aš vartotojas, noriu, kad mobili programėlė veiktų ir be interneto ryšio, kad galėčiau ją naudoti visur ir visada.;I'm a user, I want the mobile app to work offline so I can use it anywhere and anytime.;0;1;0
Aš kaip programuotojas, noriu turėti galimybę kurti vieningą klaidų valdymo sistemą, kad galėčiau lengviau sekti ir tvarkyti programos klaidas.;As a programmer, I want to be able to create a unified error management system so that I can more easily track and manage program errors.;0;1;0
Aš kaip programuotojas, noriu turėti prieigą prie testavimo automatizavimo įrankių, kad galėčiau išbandyti savo kodą.;As a programmer, I want to have access to test automation tools to test my code.;1;1;1
Aš kaip programuotojas, noriu naudoti konteinerizavimo technologijas, kad galėčiau lengviau perkelti ir paleisti aplikacijas įvairiose aplinkose.;As a developer, I want to use containerization technologies to make it easier to move and run applications in different environments.;0;1;0
Aš kaip programuotojas, noriu integruoti nepertraukiamo diegimo (CI/CD) procesą, kad galėčiau greičiau diegti naujas versijas į gamybinę aplinką.;As a developer, I want to integrate a continuous deployment (CI/CD) process so that I can deploy new versions faster to a production environment.;1;1;1
Aš kaip programuotojas, noriu turėti galimybę naudoti kodo profiliavimo įrankius, kad galėčiau optimizuoti programos našumą.;As a programmer, I want to be able to use code profiling tools to optimize my application's performance.;1;1;1
Aš kaip programuotojas, noriu turėti prieigą prie duomenų bazių optimizavimo įrankių, kad galėčiau pagerinti duomenų valdymo našumą ir efektyvumą.;As a programmer, I want to have access to database optimization tools to improve data management performance and efficiency.;0;1;0
Aš kaip programuotojas, noriu naudoti automatizuotą kodo dokumentavimo įrankį, kad galėčiau lengvai generuoti dokumentaciją savo projektams.;As a programmer, I want to use an automated code documentation tool to easily generate documentation for my projects.;1;1;1
Aš kaip programuotojas, noriu kurti modulinę kodo architektūrą, kad galėčiau lengviau prižiūrėti ir keisti programos dalis.;As a programmer, I want to create a modular code architecture so that I can more easily maintain and change parts of the application.;0;1;0
Aš kaip programuotojas, noriu naudoti kodo šablonus ir bibliotekas, kad pagreitintų programavimo procesą ir sumažinčiau rankinio darbo apimtis.;As a programmer, I want to use code templates and libraries to speed up the programming process and reduce manual work.;0;1;0
Aš kaip programuotojas, noriu turėti galimybę atlikti apkrovos testus, kad galėčiau įvertinti sistemos elgesį esant dideliam vartotojų srautui.;As a programmer, I want to be able to run load tests to evaluate system behavior under heavy user traffic.;1;1;1
Aš kaip programuotojas, noriu naudoti priklausomybių valdymo įrankius, kad galėčiau lengvai tvarkyti bibliotekas ir išvengti priklausomybių konfliktų.;As a programmer, I want to use dependency management tools to easily manage libraries and avoid dependency conflicts.;0;1;0
Aš kaip programuotojas, noriu naudoti kodų refaktoringo įrankius, kad galėčiau pagerinti esamo kodo struktūrą be funkcionalumo keitimo.;As a programmer, I want to use code refactoring tools to improve the structure of existing code without changing functionality.;1;1;1
Aš kaip programuotojas, noriu naudoti klaidų stebėjimo įrankius, kad galėčiau greitai aptikti ir išspręsti problemas gamybinėje aplinkoje.;As a developer, I want to use bug tracking tools to quickly detect and resolve issues in a production environment.;0;1;0
Aš kaip programuotojas, noriu naudoti API testavimo įrankius, kad galėčiau patikrinti, ar API veikia tinkamai ir atitinka specifikacijas.;As a developer, I want to use API testing tools to verify that the API is working properly and meets the specifications.;0;1;0
Aš kaip programuotojas, noriu naudoti versijų palyginimo įrankius, kad galėčiau lengvai analizuoti skirtumus tarp kodo versijų.;As a programmer, I want to use version comparison tools to easily analyze the differences between code versions.;1;1;1
Aš kaip programuotojas, noriu kurti išplėstinius klaidų pranešimus, kad galėčiau greičiau diagnozuoti problemas ir sutrumpinti klaidų taisymo laiką.;As a programmer, I want to create advanced error messages so that I can diagnose problems faster and reduce the time it takes to fix bugs.;0;1;0
Aš kaip programuotojas, noriu naudoti saugos testavimo įrankius, kad galėčiau aptikti ir pašalinti potencialias saugumo spragas programoje.;As a programmer, I want to use security testing tools to detect and fix potential security holes in an application.;0;1;0
Aš kaip mobilios programėlės vartotojas, noriu turėti galimybę matyti degalinės WC kodą, kad galėčiau pasinaudoti. ;As a user of the mobile app, I want to be able to see the WC code of the petrol station so that I can use it.;1;1;1
